toxic_comment,neutral_comment1
"завтрака хэппи милом , пиздец поправилась ;(",завтрака хэппи милом и поправилась
"sourceforge заебал, весь день по ssh не попасть :-/","Souceforge надоел, весь день на ssh не попасть"
Эти говнюки отключили листинг постов через API :(,Они отключили листинг постов через API
"пиздец у Доместоса лестница хуевая, я кожу на ноге содрала блять :(","У Доместоса плохая лестница, я содрала кожу на ноге."
"Ебучая погода блядь,весь город стоит из за нее(","Ужасная погода, весь город стоит из за нее"
"и как вы думаете,я выиграл?иии..конечно же неееет!!!ска пиздиц пазор ибаный((9","и как вы думаете,я выиграл?иии..конечно же неееет!!!"
"Ненавижу, когда написала целую поему,а потом смотришь, а у тебя был англ. включен(Бусит, сука!!!","Ненавижу, когда написала целую поэму, а потом смотришь, а у тебя был английский включен."
я не одна проебала шанс загадать два желания:(,Я не одна упустила шанс загадать два желания.
ну я пиздец((( конечно на такое обида на всю жизнь,Вот это да ((конечно на такое обида на всю жизнь
это ты так нежно девушку ермилова в тви поздравила?пиздос — У Валерона нет девушки(,"Это ты так нежно девушку Ермилова поздравила? 
У Валерона нет девушки"
завтра закдючительная серия Молодёжки!!!!:(((сука я умру!!,завтра заключительная серия Молодёжки!!!!:((( я умру!!
"Пидарасы: объявлен гостендер на ""отлов, подбор и утилизацию бездомных собак и кошек"" в центральном районе Сочи:(",Зачем Эти люди объявили гостендер на отлов бездомных собак и кошек в центральном районе Сочи
"я пиздец огорчился , от самого дорогого сердцу , получить такой удар по языку :((","Я очень расстроился, от самого дорогого сердцу, получить такой удар по языку"
"пиздец, у нас дуся потерялась!!!вторая кошка пропадает непонятно куда и нигде её нету :(",У нас Дуся потерялась! Вторая кошка пропадает непонятно куда и нигде ее нет
пока молодое поколение равняется на Айзу... То пизда кароч стране :(,Пока молодое поколение равняется на Айзу.. То конец короче стране
Я жопорукий долбоеб! :( Я уже залил 200 метров на этот самый народ диск и нажал Esc,Я неаккуратный. Уже залил 200 метров на народ диск и нажал Esc
"ебанул бы пешком, от восточной недалеко, но холодно сцуко(","Пошёл бы пешком,от восточной недалеко,но холодно однако."
"да я долларовую купюру вдоль и поперёк исходил взглядом — и никаких фраз про план; это кого ещё затраллели, блядь :(((",Да я долларовую купюру уже посмотрел вдоль и поперёк - и никаких фраз про план. И кого ещё затроллили
не могу поменять оформление(( ну что за пиздец((,Не могу поменять оформление(( ну что такое..
"так иногда хочется себе поставить статус с матюками, а тебе нельзя ты же деевочка бля(","Так иногда хочется себе поставить статус с нецензурной лексикой, а тебе нельзя ты же девочка"
Йошики блять. Какие нахуй наушники? ГДЕ АЛЬБОМ? (((9((((99((,Какие наушники ? Где альбом?
"Пиздец, ёбаные протоколы,  уже голова разрывается от составления их(",Голова разрывается от составления протоколов
"Бежала по подвесному мосту и уебалась на спину.Таня ржет,стерва :(",Бежала по подвесному мосту и упала на спину.Таня смеется:(
"Хочу встретиться с некоторыми твитерскими, но бля... РАСТОЯНИЕ ЕБАНОЕ...(((","Хочу встретиться с некоторыми твитерскими, но слишком большое расстояние...((("
"Я сегодня заебался. Начальник хотел, чтобы я заебался. Я его приказ выполнил. :(","Я сегодня заработался. Начальник хотел,чтоб я заработался. Я приказ его выполнил.:("
"что же я за жопа такая, не хрена ничего не ценю(",Ничего не ценю
"фууу сука ,эти слова у меня в голове ,не могу их выбросить(((","Эти слова у меня в голове, не могу их выбросить..."
Пизда уехал все сразу перестали звонить обидно!(,"Как только уехал все перестали звонить, обидно"
"Мда!Хуево  От бляяя, ну суууука, ну столько всего хочу сказатьНо не буду( Нужно сдерживать лет историки и обиды! Иначе хуево будет всем",Мда! Столько всего хочу сказать Но не буду( Нужно сдерживать лет историки и обиды! Иначе плохо будет всем
проснутся рано утром в субботу пиздец просто(,Проснуться рано утром в субботу очень просто
"Сукпидр,не по ступай так со мной,я щас разревусь как чмо ебаное((6(((((","не по ступай так со мной,я щас разревусь"
я так же по-пидорски жестикулирую как джерард((((((((((,Я также по-глупому жестикулируя как джеррард
"Ебанный врот, мне к3 паре, а я ни хуя не выспался;((((((","мне к3 паре, а я не выспался;(((((("
"блять, не успел воссоздать нормальную страницу в вк, меня уже нашла бабушка и начала писать морали. пиздец(","Не успел воссоздать нормальную страницу в вк,меня уже нашла бабушка и начала писать морали."
Чехол в говно! Сука(,Чехол испорчен
Заебали из друзей удалятьсяяя.Сучки(((((((((,Надоели из друзей удалятся
я сильно пьяный(( мне хуево я ненавижу всех все вы все  и я сука афыпидор ебаныас,я пьяный. мне плохо
Я СУКА ПУТАЮСЬ В НОВОМ ОФОРМЛЕНИИ МОБИЛЬНОГО ТВИТТЕРА БЛЕАААА,Я путаюсь в новом оформлении мобильного твиттера
"Украл у Вейдера половину зефирины, мне пиздец(","Украл у вейдера половину зефирины, мне конец"
"башка болит шо пиздец, такое ощущение что я бухала всю ночь((","Голова болит сильно, такое ощущение, что я пила всю ночь."
Блять!Стрыкало было в Кирове!почему я не знала?!Я лох:(,Стрыкало было в Кирове! почему я не знала?
"бля, на завтра опять так много домашки:(",на завтра опять так много домашки
"я бы принес, но мне пиздецкая лень(","Я бы принёс, но мне лень"
"пиздец, я так скучаааааааю. Тогда же мило было :(((( сука блин",Я так скучааааюю.тогда же мило было:((блин
не могу я без этого долбодятла биатлонистского... :(,Не могу я без этого человека...:(
этоёбаныйпиздец прости за выражение... Как кость собакам кинули. Ужас. Хочется плакать как же все у нас обреченно и безвыходно(,Как кость собакам кинули. Ужас. Хочется плакать как же всё у нас обречённо и безвыходно
"Мистар,долбонеб,я тебе тоже загогулю посвящал,так-то(((","Мистар,я тебе тоже загогулю посвящал,так-то((("
"Ой фу. Как же бесит эти ""мимими"", ""сюсюсю"". Ну фу блять. :|","Ой фу. Как же не нравятся эти""мимими"", ""сюсюсю"""
"Я сегодня пожрала, теперь тошнит, сука падла:(","Я сегодня поела, теперь тошнит, блин"
нет( ну прости блять сука,нет ну прости
бесит когда что то не получается =(((( все в жопу пиздец,бесит когда что то не получается =((((
а у меня жопа всю неделю!:( и завтра продолжение жопы :((,А у меня плохо всё неделю !:(и завтра продолжение
ТЕБЕ?! ХУДЕТЬ?! ёпрст. кто же им тогда нужен:(,ТЕБЕ?! ХУДЕТЬ?! Кто же им тогда нужен:(
не знаю( жаль пиздюлей им не дали,"Не знаю. Жаль, что их не наказали."
"о, я тебя понимаю, со мной сегодня один препод разговаривал через слово блядь. Боюсь даже порог университета переступать(","О, я тебя понимаю, со мной сегодня один преподаватель разгововартвал через нецензурную лексику. Боюсь даже порог университета переступать("
"Саша уебала мне кожицой от мандарина, сюка :|",Саша брызнула мне кожицой от мандаринки
"оу..уроды. извини, что я отписалась, я не знала :-(","Извините, что отписалась - не знала."
"Я ПРИШЕЛ!!!!! БЛЯ, ИЗВИНЯЮСЬ ЧТО ДОЛГО (((","Я пришел! Извините, что так долго ."
"любить кого? природу,шум и голоса? ебал их в рот,закроюсь дома,сяду в шкаф!(","Любить кого? Природу, шум и голоса? Закроюсь дома, сяду в шкаф."
"Хоть и заныкала их в самую жопу,всё равно достали:(","Хоть и спрятала их хорошо,все равно достали :("
"я слабый хуесос, Костик кинул меня на прогиб с 1 раза :(:(",Я очень слабый. Костик смог побороть меня с 1 раза
Сука на мне что проклятие? как только влюбляюсь постоянно ошыбаюсь((((,"На мне что, проклятие? Как только влюблюсь - постоянно ошибаюсь."
да я сам с удовольствием вытащился бы на улицуно хуй там :(,Да я сам с удовольствием вытащился бы на улицу но увы:(
"Бляха, в мене ще і шлейка одірвалась:( лох","Блiн, в мене ще й шлейка одiрвалась"
Вымывать эту тупую тушь походу тоже подвиг аюая!(,Смыть эту плохую тушь похоже тоже подвиг!(
"сука, ну почему, почему, все самые красивые молодые парни уже женаты?((",Почему все самые красивые молодые парни уже женаты?
"ПИЗДЕЦ, Я В ШОКЕ((((КОРН НЕ ПРИЕДЕТ В КАЗАНЬ","Я ошарашен, ведь Корн не приедит в Казань"
"блять хотела в магаз зайти , но деньги забыла :(",Пошла в магазин и забыла деньги
Я удалила   :С Заебало :(,Я удалила   :С Достало :(
збс блять!!!!опять проиграли как всегда((,опять проиграли как всегда((
"бля, как мне хуево, походу температура, пиздец(","Как мне плохо, наверное температура"
Маме надо позвонить она мне Пизды дать седня хочет(,Маме надо позвонить она меня отругать сегодня хочет
"ебать, у меня почерк, как у первоклассника(",У меня почерк как у первоклассника
ну ты и говнюка....жалко что ли :(,Тебе жалко что-ли:(
"что-то ты дохуя умный!!страдай и скучай по мне, блять:((",Что-то ты очень умный. Страдай и скучай по мне
"я бы тоже ушел в секту, но меня потом мамка отпиздит((((00((","Я бы тоже ушел в секту, но меня потом мама поругает"
"Проебала сегодня все, что было можно:((((","потеряла сегодня все, что можно было:((("
"а вообще эти чертяги своего добиваются здесь(((( эх Иван, зачем кормите этих тварей?","А вообще они своего добиваются здесь(( эх, Иван, зачем кормите этих людей?"
"Да пошел ты нахуй,не могу Я больше ждать(",Не могу я больше ждать
"вот не надо мне пиздеть, что вы все из мухосрансков(","Вот не надо обманывать, что вы все из бедных городов"
"Блять( да что же это такое , я без тебя даже заснуть не могу, дерьмо какое-то , столько время прошло , а я привыкнуть не могу к этому.","Да что же это, я без тебя заснуть не могу, столько времени прошло, а я так и не могу к этому привыкнуть."
Эти мудаки 0-0 сыграли в основное. И я не получаю 1600 рублей(((,Эти гыграли 0-0 в основе и я не получаю 1600 рублей
вот тебе и жопа новый год — любимый включил дурака сел на попу и отказывается сотрудничать :-(,Вот тебе и все-любимый отказывается сотрудничать.
", я ж пиздюк, вырастут, а вот ты большой мальчик, а шишечки как не было, так и не будет(((","Я ж еще маленький, вырасту, а вот ты  большой мальчик, а шишечки как не было,так и не будет"
"понедельник, а я уже заебалась (( хочу выходные !!  только","Понедельник, а я уже устала. Хочу выходные"
но сегодня это ебаный вторник((,Но сегодня вторник
"Когда мама домой приедет будет мне пиздюлей давать, пичально ;(","Когда мама домой приедет будет меня ругать,печально(("
"Блять, блять совсем скоро закончятся деньги ;(",Совсем скоро закончатся деньги
"не правила внутреннего распорядка, а блядство(",Привила внутреннего распорядка плохо организованны
ебать печаль же:( реванш будет?,"Жалко, реванш будет"
Нет блядь нам приятно сидеть на парах в понедельник. В 11 утра:(,"Нет, нам приятно сидеть на парах в понедельник в 11 утра"
"Бляя спать надо,сука опять завтра ели встану((","Спать надо, завтра еле встану опять"
гольф суки тогда порвали(,Гольф порвали(
СУКПОДЪЕЗД(( чё в итоге будет-то...кому верить...СПЛОШНОЙ ОБМАН ВЕЗДЕ!!! Операция по смене пола? ⊙ω⊙,Подъезд(( что в итоге будет-то..кому верить..сплошной обман везде! Операция по смене пола?
Камила! Прости! Я сволочь( Я очень люблю тебя,Камила! Прости!( Я очень люблю тебя
"блять , а я переживаю за Энриса : (((",А я переживаю за Энриса:(((
меня на собрании унизили суки =(((,Меня унизили на собрании
"Я бы подарил тибе синюю поебень, но ее выпили :(","Я бы подарил тебе синюю чтучку,но ее выпили :("
"какой охуеннопрекраснозамечательный сон, вернииииите блять :(","какой замечательный сон, вернииииите :("
да вы заебали а если бы я по ошибке сказала сос((((,Как вы надоели а если бы я по ошибке сказала сос
Ебалабайка сижу на математике и без наушников ((((,Сижу на математике без наушников
"ну пиздец, теперь 2 сезон Молодёжки будет только в сентябре ((",2 сезон молодежки будет только в сентябре(
Вова скотина забрав мої навушники :(,Вова забрал мои наушники
та блять ебаный моб не хочет прошиваться!(((,моб не хочет прошиваться!(((
ебать я жирная ( всё очень плохо,Я очень толстая. Все очень плохо
"Конференция, блять. Жюри, блять. А я грущу(",Конференция. Жюри. А я грущу(
"ты права на все 100%! Просто обидно( жопу драла, а все впустую!",ты права на все 100%! Просто обидно( что всё впустую!
Пятница нахуй(На работу завтра(Вот ебантяйство(Неужели так всю жизнь будет тухло?,Пятница На работу завтра Неужели так всю жизнь будет?
"Одни маты в голове из-за таких долбоёбов. А мог бы думать о котятах, намример:(",Одни маты в голове из-за таких людей. А мог бы думать  о котятах например
распечатала курсовой он нихуя не правильный( ну как всегда блять(((,распечатала курсовой он не правильный ( как всегда
"Блииин , ну опять этот упырь в Киев прется (",Опять этот человек в Киев едет
Сука. Хочу высказаться а тви не дает(,Хочу высказаться а тви не даёт
"да хуй знает, опять нонэймов наприглашают(((","Кто знает,опять нонэймов наприглашают((("
"я знаю, что я мудак. но когда кто-то говорит мне это, почему-то обидно :(","Я знаю, что я такой. Но когда кто-то говорит мне это, почему-то обидно."
"а мне только пишут, что я долбоеб (((","А мне только пишут, что я плохой"
От коза блин убью ее завтра блин блин блин:(,Блин убью её завтра блин блин блин
сук мне хреново когда эти двое срутсяпоцаны не сритесь.....(((,Мне плохо когда эти двое ругаются не ругайтесь
в 350 серии умрет Нейджи.. фаак((( блять пиздец((не может быть((,В 350 серии умрет нейджи…жаль(( не может быть
БЛИН АЯ СЁДНЯ ТАК РАНО ВСТАЛА ЧТО БЫ В ШКОЛУ ПОЙТИ А ПОТОМ ВСПОМНИЛА ЧТО УМЕНЯ ШТАНЫ ПОРВАТЫЕ И ПОТОМ НЕ УСНУЛА((!!,"А Я СЕГОДНЯ ТАК РАНО ВСТАЛА, ЧТОБЫ В ШКОЛУ ПОЙТИ, А ПОТОМ ВСПОМНИЛА, ЧТО УМЕНЯ ШТАНЫ ПОРВАНЫ И ПОТОМ НЕ УСНУЛА((!!"
"Фыыы бляя что за мымрами он там общается ?!ревность так и ебашит ,даже своего брата я так ревную :(","Фууу, что за барышнями он там общается, ревность берет , даже за брата, я ревную"
что сука я плохого сделал то что бы читать и игнорить меня. (,Что я плохого сделал что бы читать и игнорить меня(
Путин противопоставил традиционные ценности «хаотической тьме»  via  Не блядовать и не пидорасить(((,Путин противополоставил традиционные ценности хаотической тьме.
сука почему так черная полоса какая то(((,Почему так черная полоса какая-то
завтра с утра опять пиздос начнется(( переписать конспекты по бу,завтра с утра опять ужас начнётся((переписать конспекты по бу
ОСТАЛЬНЫЕ ДЕТИ НАШИ УЕБАЛИ((((,ОСТАЛЬНЫЕ ДЕТИ НАШИ ушли((((
"Собралась, поела каши ЁБАНЫЙ В РОТ КАК У МЕНЯ БОЛИТ ЖИВОТ НИКОГДА БОЛЬШЕ НЕ БУДУ ЕСТЬ ((((","Собралась, поела каши. Черт возьми, как у меня болит живот, никогда больше не буду есть"
Когда ты не можешь сидеть ровно на жопе и тебе надо что нибудь делать бляя&gt;&lt;Ели дотерпела(,"Когда ты не можешь сидеть спокойно и тебе надо что нибудь делать, ели дотерпела("
бля ну чо ты чо ты (((990((,блин ну че ты че ты(((
ПИЗДЕЦ!!!!!!!!!!!!!!!!!!! Другие слова на ум не приходят...(((,УЖАС!!!!!!!!!!!!!!!Другие слова на ум не приходят...(((
он: Я пошутил.наивная.  Вот сука.А я же реально его люблю(,"Он: я пошутил, наивная. 
А я же реально его люблю..."
"""так много счастья может быть ,но ,блядь ,ведь нужен Он один!(((""","так много счастья может быть ,но ведь нужен Он один!((("
Мою уродку * могут положит завтра в больницу ! (буду приходит!,Мою девушку могут положить завтра в больницу! ( буду приходить!
"Самая большая фобия моя , это пауки (Сука , ненавижу их ,Бляяять","Самая большая фобия моя , это пауки (ненавижу их"
"а мне не сделал, вот хуй ты печальный :-(","А мне не сделал, вот ты печальный."
"Сеструха второй палец ломает. Бляя, опять:((","Сестра второй палец ломает ,опять"
"- Ебать у Кати сиськи! - Лер, у меня депрессия. У неё сиськи больше, чем у тебя. Мне теперь нравится Катя!(","У Кати гружь болтше! Лер, у меня депрессия. У нее грудь больше, чем у тебя. Мне теперь нравится Катя."
"Как же срано мы в европе играем,просто пиздец!((",Как же плохо мы играем в европе
боже как же я заебалась писать эту биологию(((,Боже как же мне надоело писать эту биологию
в коридоре постоянно свет мигает.БЛ СКА МНЕ СТРАШНА ПЯТНИЦА ДАЕТ О СЕБЕ ЗНАТЬ :|,"В коридоре постоянно свет мигает. Страшно, Пятница даёт о себе знать"
"Пздц, просто полный пздц,  осознание того скольких я просрал(","просто полная трагедия,  осознание того скольких я потерял("
Заставили делать уроки пхаха идите нахуй  у меня настр нету(,"Заставили делать уроки, у меня настроения нет"
"Ну вот. Ива! Ты плохой человек! Тебе надо было раньше все это сдавать!:( дура я, дура. Какой раз уже!",Ну вот. Ива! Тебе надо было раньше все это сдавать!:(
"После завтра, трубку пойду глотать(бляяяя ваще пиздец","После завтра, трубку пойду глотать"
"Я ебу.я возвращаюсь на Серебрянку.гори в аду!!! Хоть бы писали,по какому маршруту едут,мудаки(","Я возвращаюсь на Серебрянку. Хоть бы писали, по какому маршруту едут"
"Скпздц как х**во, с пары мат.анализа уже((","Как плохо, с пары мат.анализа уже"
"Пиздец, в пятницу надо идти к химичке с проектом пр физике. Бля :-(((",в пятницу надо идти к химичке с проектом по физике
"-Тебя мадрид-Нет, меня иодит:|","-Тебя мадрид-Нет, меня:|"
Сука...ненавижу атмосферу автомастерских..(,Ненавижу атмосферу автомастерских
страшно заебали милые парни из эстонской Elisa. Третью неделю тащут мне инет :(,Надоели уже милые парни из эстонской Elisa Третью неделю тащут мне инет:(
я не ебануулся ((((((((у меня все отлично!!,У меня всё отлично!!
Какая-то тварь постит всякую фигню от моего имени((,Кто-то постит всякую ерунду от моего имени(
пиздец на улице холодрыга:( околел нахер:((,На улице холодрыга: (околел совсем:((
"Блиин, где же вывод, совсем затянули, уроды ((","Блин, где же вывод, совсем затянули."
Ну неееееет(((( ;(  Что б этот Казанцев!!!!! Сволочь!!,"Ну неееет, что б этот Казанцев"
"В суппорте Electronic Arts сидят сраные гондоны и лентяи. Да и еще, судя по всему, русского отдела у них нет(","В службе поддержки Electronic Arts не хотят работать. И, судя по всему, у них нет Русского отдела."
"бля,хз как въебать психологию,чтобы успеть на горку,блин(","хз, как прогулять психологию,чтобы успеть на горку,блин("
Тупые сепаратисты хотят разрушить мою Испанию!=(,Сепаратисты хотят разрушить мою Испанию!
"Никита такой вообще, все обломал, похуй  без него пойдем :(","Никита все испортил, пойдём без него"
"из ВК они, блять, спиздили :((",Из ВК они украли.
заболела-и это пиздец как не прикольно(((,заболела-и это как то не прикольно
Да уж....не думала что ты так подумаешь....ну ладно...сука ты значит.....сука...да ещё и тупая!!Ничего тебе не сделала а ты так говоришь:(,"Да уж... не думала, что ты так подумаешь... Ничего тебе не сделала, а ты так говоришь"
да в пизду нас снова наебали((большой концерт большой концерт скоро...нет он не говорил конечно что это сс будет но бля...,"Да,снова нас обманули(( большой концерт,большой концерт скоро...нет он не говорил конечно,что это см будет"
"я заметил,ебонат((",я заметил
это какой-то пиздец(( прям не верится,Это просто невообразимое прямо не верится
o_O Из семерки выпилили NET SEND! Вот уроды!!!,Из семерки выпилили net send.
на работе муха который день доёбывается — гопник штоле? :(,На работе муха который день мешает
"А я сегодня проебала вдохновение (( Так обидно было - меня только пропёрло, но нужно уже было бежать на этот сраный дуплекс и всё, опять хуй","А я сегодня упустила вдохновение, так как срочно нужно было бежать по делам"
"какая же я дура. блять. капец. надо было сразу симку активировать,а я идиот... капец:(((",нужно было симку сразу активировать
"Фу,не люблю когда люби повторяют:((.!. идите на хер!","Фу,не люблю когда люби повторяют:(("
"не сомневалась даже, что ты, пидарасина гребанная, не придешь к нему х((","Не сомневалась даже, что ты к нему не придешь."
"Бля, я думал у меня  какая-то хуйня с мышью(",Я думал у меня мышь сломалась
"...ХУЙНЁЙ ,сложно признавать это,но Хуесосов вокруг меня становиться все больше с каждым годом(","сложно признавать это,но Плохих людей вокруг меня становиться все больше с каждым годом("
сукаблять опять я проснулась когда уже ш спит :((((((((((((((((:СССССС,"Опять я проснулась,когда уже спит"
"очень жаль, что пидрошвец не едет:(","Очень жаль , что он не едет"
"и тоже пиздец, пусть телка и аутентичная (","и тоже,пусть девушка и аутентичная"
Я ВЫУЧИЛА ОТРЫВОК ИЗ МЦЫРИ ЗА 15 МИНУТ o_OЗВИЗДА В ШОКЕАЗХАВАЩАХАВПАХА,Я выучила отрывок за 15 минут из мцыри
"прекратите все ругаться, уроды, я люблю вас всех, а вы такие((","Прекратите ругаться, я люблю вас всех"
Какое животное тебе было бы не жалко убить? — мне всех жалко((,"Какое животное тебе не жалко убить? 
-Мне всех жалко (("
"БЛЯДЬ, создатели отбросов, А ВЫ НЕ ХОТИТЕ ПОДРОБНЕЕ ПРО ЭТУ ХУЕВУ ГРОЗУ РАССКАЗАТЬ?? сезон должен быть обязательно:(((","Создатели отбросов ,а вы не хотите подробнее про грозу рассказать ? Сезон должен быть обязательно"
АХАХХАХАХА он не гей? Бляя я тоже жалею((,Он не гей? я тоже жалею
ну сука  3:0 ( Зенит проигрывает .пидоры блять,3:0 ( Зенит проигрывает.
Диво-копилкаДевиз ДЕКАБРЯ месяца!!! РАБОТАЕМили ... РАБОТАЕМ! БЕЗВАРИАНТОВ!!!! збс(,Диво-копилкаДевиз ДЕКАБРЯ месяца!!!Работаем или...работаем!Безвариантов.
"заебал этот интернет, что то мне херово, уберусь и пойду спать...(","Надоел интернет, мне плохо, уберусь и пойду спать"
водка-хуедкасигареты-хуетынаркотики-хуетикивсе что блять надо ему для счастьяссор за маты(,"Водка, сигареты, наркотики - все, что ему надо для счастья."
она еще и по французки чет пытается ...ёбаный хуй ... какая срамота ... что там оценивать?! ... залупа конская!!!! так испахабить песню :((,она еще и по французки чет пытается. какая срамота ... что там оценивать? так испортить песню :((
"Охуенно блять,у меня 3 по истории за аттестацию я расстроенна;(",У меня три по истории за аттестацию Я расстроена
Как меня эти шлюхи ржущае во весь голос бесят! :(СукиЗаебали они всееееееех!,Как меня эти девушки ржущае во весь голос бесят! :(Они надоели
"Иду на остановку, а на встречу мне хач катится. Я такая думаю ""чтоб ты уебался хач ибаный"" и понимаю, что я сказала это вслух рядом с ним :|","Иду на остановку, а на встречу мне нерусский идёт. Я такая думаю ""что ты упал"" и понимаю, что сказала это вслух рядом с ним"
"прислали тему курсача, охуела не только я, но и гугл(","прислали тему курсача, обалдела не только я, но и гугл"
В хлам обдолбанный Сраакашвили...(((,Осень не трезвый Сраакашвили...(((
"Ненавижу, блядь, ёбаную общагу. Почему мы такие нищие(",Не люблю общагу. Почему мы такие нищие.
Бля гриш меня опять говном назвали((((сук обидно,"опять меня обозвали, обидно"
Просто блять непойму вокруг всякая хуйня((,"Просто, не пойму вокруг всякая ерунда"
Пиздец откуда столько людей? Сука че дома то не сидится???(,откуда столько людей?дома то не сидится???(
"Господи, какой я дибил :(пропустила свадьбу","Господи, какой я глупый, пропустил свадьбу"
"Да хуй тут был, какое не плакать :(",Как не плакать
"да он ска вапщи охуел я знаю,но ничего поделать не могу,кроме как таблетки пить:(","ничего поделать не могу,кроме как таблетки пить:("
я ебала учиться по субботам((,ненавижу учиться по субботам(
АААА до сих пор тошнит и еще темпиратура ебанная!(,До сих пор тошнит и еще температура.
"заебааааалось эти пары,бля если трояк выйдет,я сдохну:((","надоели эти пары, если трояк выйдет,я умру:(("
яблочник хуев :-( я тебе планшет дам. У меня инввйты есть. Кто поедет?,Я тебе дам планшет. Кто едет?
"Я ОБЖОРА!!!! скоро лопну, уже неделю не погу перестать есть(((",Я много ем. Ем целую неделю
"по дороге с работы порвала единственные босоножки :( я идиот, убейте меня кто-нибудь!!11",по дороге с работы порвала единственные босоножки :( какая же я не аккуратная!!
мансити вообще ебучая команда(,мансити вообще крутая команда(
СУКААА!!! мне ее почему то не начислили(,Мне её почему-то не начислили
описывать графики на немецком это реально пиздеец :|,описывать графики на немецком это реально сложно
"Q: Ну нахуй ты так с ним поступаешь он же любит а ты,эхх ты,(  A:","Ну зачем ты так с ним поступаешь, он же любит ,а ты ,эх ты( а"
"блядь я далбаеб(( с 5 вечера ебашу в WOW, нихуя не делал , нихуя не готов , идиот lvl:бог","я глупый,с 5 вечера играю в WOW, ничего не делал , не готов , lvl:бог"
"Сукааа:((( почему так плохо, отстань от меня, пожалуйста","Почему так плохо , отстань от меня, пожалуйста"
"вообще пиздец,щас собака его доела:(",щас собака его доела
ебать просто :||...это НЕРЕАЛЬНО...тт__тт я клянусь больше столько не проебывать,"Это просто нереально,я клянусь больше столько не проигрывать"
пацаны редкостные далбаебы в вопросах отношений =(,пацаны плохо разбираются в вопросах отношений =(
"Почему такая опизденелость вылазит по запросу ооциты, ну почему(",Почему выходит ерунда по запросу
"епта епта , я зарегистрировался в инсте , пизда((",я зарегистрировался в инсте
цветок херова рас пустился;(,цветок плохо распустился;(
у меня с герпесов вечные проблемы !(ебаный он сука дыбилахах,У меня с герпесом вечные проблемы!
ты что порезала палец? о_О -Нет придурок! У моей руки месечные бл*ть.,"Ты порезала палец? - нет, у моей руки критические дни!"
"я же чмошница , за со мной общаться,только и дура ....да как всегда ((",Зачем со мной общаться я же плохая...да как всегда
Ты милее всех! Бля сука скучаю ужааснооо(,Ты милее всех! Скучаю ужасно
Блять вырвало пиздец(( и еще сердце болит щас умру нахуй (((,Вырвало и ещё сердце болит сильно
Ну улице просто пиздец и будет еще хуже:(,На улице ужасная погода и будет ещё хуже
поржала!!! охуенный день! только мой кот грустит:((,Посмеялась! Лучший день!Только мой кот грустит
"это не стоматологи суки, это мы неудачники (","Это не стоматологи плохие, это мы неудачники("
электрошокер пиздец как больно бьёт! теперь мне жопа болит(,Электрошокер больно бьёт! Теперь у меня зад болит(
"Бля, я лох по жизни(( опять упала, отбила попу","Я недотепа по жизни( опять упала, отбила попу"
"А мне, Блять, не до улыбок. Я пиздец опаздываю!!!!(((",Мне не до улыбок. Я опаздываю!!!!(((
"блять, я уже это не помню(",я уже это не помню
"АЛГЕБРА, ЛИТЕР И РУССК ДОПИСАТЬ!( А ТЕБЕ?","Алгебру,литературу и русский язык дописать. А тебе?"
БЛЯТЬ А ДЛЯ ЧЕГО Я НАПИСАЛА (,А для чего я написала (
"Одногруппник, который взял бабки за курсач и теперь отказывается помогать - настоящий мудак! Хрен я ему теперь помогу на контрольных:|","Одногруппник, который взял деньги за курсовую и теперь отказывается помогать - обманщик. Теперь не буду ему помогать на контрольных."
